Query ID,Phrase,Operator,Fragment Type,Functions,Group By,Answer
52,series Scandal,,pred,,,tv_series.title = 'Scandal'
53,tv series,,attr,,,tv_series.title
53,Netflix,,pred,,,company.name = 'Netflix'
54,movies,,attr,,,movie.title
54,Netflix,,pred,,,company.name = 'Netflix'
55,movies,,attr,,,movie.title
55,Kevin Spacey,,pred,,,actor.name = 'Kevin Spacey'
56,director,,attr,,,director.name
56,series House of Cards,,pred,,,tv_series.title = 'House of Cards'
56,Netflix,,pred,,,company.name = 'Netflix'
57,director,,attr,,,director.name
57,series House of Cards,,pred,,,tv_series.title = 'House of Cards'
57,2013,=,pred,,,tv_series.release_year = 2013
58,movies,,attr,,,movie.title
58,Robin Wright,,pred,,,actor.name = 'Robin Wright'
59,female,,pred,,,actor.gender = 'female'
59,actors,,attr,,,actor.name
59,Austin,,pred,,,actor.birth_city = 'Austin'
60,actors,,attr,,,actor.name
60,Austin,,pred,,,actor.birth_city = 'Austin'
60,born after 1980,>,pred,,,actor.birth_year > 1980
61,movies,,attr,,,movie.title
61,directed by,,rel,,,directed_by;director
61,Steven Spielberg,,pred,,,director.name = 'Steven Spielberg'
61,Matt Damon,,pred,,,actor.name = 'Matt Damon'
62,actors,,attr,,,actor.name
62,Italy,,pred,,,actor.nationality = 'Italy'
62,born after 1980,>,pred,,,actor.birth_year > 1980
63,female,,pred,,,actor.gender = 'female'
63,actors,,attr,,,actor.name
63,New York City,,pred,,,actor.birth_city = 'New York City'
63,after 1980,>,pred,,,actor.birth_year > 1980
64,female,,pred,,,actor.gender = 'female'
64,actors,,attr,,,actor.name
64,movie Saving Private Ryan,,pred,,,movie.title = 'Saving Private Ryan'
65,acts,,attr,,,actor.name
65,Alan Turing,,pred,,,cast.role = 'Alan Turing'
65,movie The Imitation Game,,pred,,,movie.title = 'The Imitation Game'
66,actor,,attr,,,actor.name
66,Alan Turing,,pred,,,cast.role = 'Alan Turing'
66,The Imitation Game,,pred,,,movie.title = 'The Imitation Game'
67,year,,attr,,,movie.release_year
67,movie The Imitation Game,,pred,,,movie.title = 'The Imitation Game'
68,movies,,attr,,,movie.title
68,Iraq war,,pred,,,keyword.keyword = 'iraq-war'
69,directors,,attr,,,director.name
69,Afghanistan,,pred,,,director.nationality = 'Afghanistan'
70,name,,attr,,,actor.name
70,actors,,rel,,,actor
70,Afghanistan,,pred,,,actor.nationality = 'Afghanistan'
71,writer,,attr,,,writer.name
71,The Truman Show,,pred,,,movie.title = 'The Truman Show'
72,Sci-Fi,,pred,,,genre.genre = 'Sci-Fi'
72,movies,,attr,,,movie.title
72,released 2010,=,pred,,,movie.release_year = 2010
73,actors,,attr,,,actor.name
73,played,,rel,,,actor;cast
73,movie Camp X-Ray,,pred,,,movie.title = 'Camp X-Ray'
74,actors,,attr,,,actor.name
74,Canada,,pred,,,actor.nationality = 'Canada'
74,James Bond movies,,pred,,,movie.title = 'James Bond'
75,James Bond,,pred,,,movie.title = 'James Bond'
75,directors,,attr,,,director.name
76,films,,attr,,,movie.title
76,Rowan Atkinson,,pred,,,actor.name = 'Rowan Atkinson'
76,Mr. Bean,,pred,,,cast.role = 'Mr. Bean'
77,movies,,attr,,,movie.title
77,directed by,,rel,,,directed_by;director
77,Asghar Farhadi,,pred,,,director.name = 'Asghar Farhadi'
77,Taraneh Alidoosti,,pred,,,actor.name = 'Taraneh Alidoosti'
77,played,,rel,,,actor;cast
78,where from,,attr,,,director.birth_city;director.nationality
78,director,,rel,,,director
78,The Past,,pred,,,movie.title = 'The Past'
79,acted,,attr,,,actor.name
79,role Mr. Bean,,pred,,,cast.role = 'Mr. Bean'
80,genres,,attr,,,genre.genre
80,movies,,rel,,,movie
80,directed by,,rel,,,directed_by;director
80,Asghar Farhadi,,pred,,,director.name = 'Asghar Farhadi'
81,movie,,attr,,,movie.title
81,Daffy Duck,,pred,,,cast.role = 'Daffy Duck'
82,company,,attr,,,company.name
82,Mickey Mouse series,,pred,,,tv_series.title = 'Mickey Mouse'
83,roles,,attr,,,cast.role
83,movie Daddy Long Legs,,pred,,,movie.title = 'Daddy Long Legs';movie.title = 'Daddy-Long-Legs'
84,male,,pred,,,director.gender = 'male'
84,directors,,attr,,,director.name
84,NBCUniversal company,,pred,,,company.name = 'NBCUniversal'
85,movies,,attr,,,movie.title
85,nuclear weapons,,pred,,,keyword.keyword = 'nuclear-weapons'
86,directors,,attr,,,director.name
86,movies,,rel,,,movie
86,nuclear weapons,,pred,,,keyword.keyword = 'nuclear-weapons'
87,movies,,attr,count,,count(movie.title)
87,Jennifer Aniston,,pred,,,actor.name = 'Jennifer Aniston'
87,acted,,rel,,,actor;cast
87,after 2010,>,pred,,,movie.release_year > 2010
88,actors,,attr,count,,count(actor.name)
88,movie Grumpier Old Men,,pred,,,movie.title = 'Grumpier Old Men'
89,movies,,attr,count,,count(movie.title)
89,Alfred Hitchcock,,pred,,,director.name = 'Alfred Hitchcock'
89,direct,,rel,,,directed_by;director
90,movies,,attr,count,,count(movie.title)
90,year 2012,=,pred,,,movie.release_year = 2012
91,movies,,attr,count,,count(movie.title)
91,directed by,,rel,,,directed_by;director
91,Woody Allen,,pred,,,director.name = 'Woody Allen'
91,year,,attr,,1,movie.release_year
92,movies,,attr,count,,count(movie.title)
92,2013,=,pred,,,movie.release_year = 2013
93,movies,,attr,count,,count(movie.title)
93,Ronald Reagan,,pred,,,actor.name = 'Ronald Reagan'
93,act,,rel,,,actor;cast
94,actors,,attr,count,,count(actor.name)
94,Los Angeles,,pred,,,actor.birth_city = 'Los Angeles'
94,after 2000,>,pred,,,actor.birth_year > 2000
95,movies,,attr,count,,count(movie.title)
95,Humphrey Bogart,,pred,,,actor.name = 'Humphrey Bogart'
95,act,,rel,,,actor;cast
95,before 1942,<,pred,,,movie.release_year < 1942
96,movies,,attr,count,,count(movie.title)
96,Brad Pitt,,pred,,,actor.name = 'Brad Pitt'
96,acts,,rel,,,actor;cast
96,year,,attr,,1,movie.release_year
97,movies,,attr,count,,count(movie.title)
97,Tom Cruise,,pred,,,actor.name = 'Tom Cruise'
97,acted,,rel,,,actor;cast
98,movies,,attr,count,,count(movie.title)
98,Iraq war,,pred,,,keyword.keyword = 'iraq-war'
98,2015,=,pred,,,movie.release_year = 2015
99,movies,,attr,count,,count(movie.title)
99,Persians,,pred,,,keyword.keyword = 'persian'
99,released after 1990,>,pred,,,movie.release_year > 1990
100,movies,,attr,count,,count(movie.title)
100,Matt Damon,,pred,,,director.name = 'Matt Damon'
100,direct,,rel,,,directed_by;director
101,movies,,attr,count,,count(movie.title)
101,Quentin Tarantino,,pred,,,director.name = 'Quentin Tarantino'
101,direct,,rel,,,directed_by;director
101,after 2010,>,pred,,,movie.release_year > 2010
102,movies,,attr,count,,count(movie.title)
102,Quentin Tarantino,,pred,,,director.name = 'Quentin Tarantino'
102,direct,,rel,,,directed_by;director
102,before 2010,<,pred,,,movie.release_year < 2010
103,movies,,attr,count,,count(movie.title)
103,Quentin Tarantino,,pred,,,director.name = 'Quentin Tarantino'
103,direct,,rel,,,directed_by;director
103,before 2002,<,pred,,,movie.release_year < 2002
103,after 2010,>,pred,,,movie.release_year > 2010
104,movies,,attr,count,,count(movie.title)
104,Brad Pitt,,pred,,,actor.name = 'Brad Pitt'
105,movies,,attr,count,,count(movie.title)
105,Steven Spielberg,,pred,,,director.name = 'Steven Spielberg'
105,direct,,rel,,,directed_by;director
106,movies,,attr,count,,count(movie.title)
106,Netflix,,pred,,,company.name = 'Netflix'
107,female,,pred,,,actor.gender = 'female'
107,actors,,attr,count,,count(actor.name)
107,New York City,,pred,,,actor.birth_city = 'New York City'
107,after 1980,>,pred,,,actor.birth_year > 1980
108,actors,,attr,count,,count(actor.name)
108,movie Saving Private Ryan,,pred,,,movie.title = 'Saving Private Ryan'
109,movies,,attr,count,,count(movie.title)
109,Shahab Hosseini,,pred,,,actor.name = 'Shahab Hosseini'
109,act,,rel,,,actor;cast
110,actors,,attr,count,,count(actor.name)
110,Iran,,pred,,,actor.nationality = 'Iran'
110,played,,rel,,,actor;cast
110,Jim Jarmusch,,pred,,,director.name = 'Jim Jarmusch';writer.name = 'Jim Jarmusch';producer.name = 'Jim Jarmusch'
110,movies,,rel,,,movie
111,companies,,attr,count,,count(company.name)
111,Camp X-Ray,,pred,,,movie.title = 'Camp X-Ray'
112,actors,,attr,count,,count(actor.name)
112,China,,pred,,,actor.nationality = 'China'
112,acted,,rel,,,actor;cast
112,Rush Hour 3,,pred,,,movie.title = 'Rush Hour 3';
113,movies,,attr,,,movie.title
113,star,,rel,,,actor;cast
113,Angelina Jolie,,pred,,,actor.name = 'Angelina Jolie'
113,Brad Pitt,,pred,,,actor.name = 'Brad Pitt'
114,actors,,attr,,,actor.name
114,acted,,rel,,,actor;cast
114,movie,,rel,,,movie
114,Tom Hanks,,pred,,,actor.name = 'Tom Hanks'
115,movies,,attr,,,movie.title
115,director,,rel,,,director
115,movie Revolutionary Road,,pred,,,movie.title = 'Revolutionary Road'
116,movies,,attr,,,movie.title
116,Benedict Cumberbatch,,pred,,,actor.name = 'Benedict Cumberbatch'
116,Keira Knightley,,pred,,,actor.name = 'Keira Knightley'
117,movies,,attr,,,movie.title
117,Matt Damon,,pred,,,actor.name = 'Matt Damon'
117,Ben Affleck,,pred,,,actor.name = 'Ben Affleck'
118,movies,,attr,"max, count",,max(count(movie.title))
118,Brad Pitt,,pred,,,actor.name = 'Brad Pitt'
118,act,,rel,,,actor;cast
118,year,,attr,,1,movie.release_year
119,actor,,attr,,,actor.name
119,films,,pred,"max, count",,count(movie.title) = max(count(movie.title))
120,acted,,attr,,,actor.name
120,movies,,pred,"max, count",,count(movie.title) = max(count(movie.title))
120,directed by,,rel,,,directed_by;director
120,Jim Jarmusch,,pred,,,director.name = 'Jim Jarmusch'
121,movie,,attr,,,movie.title
121,classified,,rel,,,classification
121,genres,,pred,"max, count",,count(genre.genre) = max(count(genre.genre))
122,movie,,attr,,,movie.title
122,actors,,pred,"max, count",,count(actor.name) = max(count(actor.name))
122,China,,pred,,,actor.nationality = 'China'
123,actors,,attr,,,actor.name
123,played,,rel,,,actor;cast
123,latest,,pred,max,,movie.release_year = max(movie.release_year)
123,movie,,rel,,,movie
123,Quentin Tarantino,,pred,,,director.name = 'Quentin Tarantino'
124,name,,attr,,,movie.title
124,budget,,attr,,,movie.budget
124,latest,,pred,max,,movie.release_year = max(movie.release_year)
124,movie,,rel,,,movie
124,Quentin Tarantino,,pred,,,director.name = 'Quentin Tarantino'
125,movies,,attr,,,movie.title
125,Jason Robards,,pred,,,actor.name = 'Jason Robards'
125,Woody Strode,,pred,,,actor.name = 'Woody Strode'
126,directed,,attr,,,director.name
126,latest,,pred,max,,movie.release_year = max(movie.release_year)
126,movie,,rel,,,movie
126,NBCUniversal,,pred,,,company.name = 'NBCUniversal'
127,latest,,pred,max,,movie.release_year = max(movie.release_year)
127,movie,,attr,,,movie.title
127,Jim Jarmusch,,pred,,,director.name = 'Jim Jarmusch';writer.name = 'Jim Jarmusch';producer.name = 'Jim Jarmusch'
128,latest,,pred,max,,movie.release_year = max(movie.release_year)
128,movie,,attr,,,movie.title
128,Gabriele Ferzetti,,pred,,,actor.name = 'Gabriele Ferzetti'
128,acted,,rel,,,actor;cast
